id,id_de,noi_dung,dapan_a,dapan_b,dapan_c,dapan_d,dapan_dung
1,1,3 + 4 = ?,6,7,8,5,B
2,1,10 - 6 = ?,5,3,4,6,C
3,1,Số nào lớn hơn? 8 __ 5,<,=,>,không có,C
4,1,2 + 5 = ?,6,7,8,9,B
5,1,9 - 3 = ?,6,5,7,4,A
6,1,Điền số thích hợp: 4 + __ = 9,5,4,6,7,A
7,1,7 + 2 = ?,9,8,10,11,A
8,1,5 - 2 = ?,3,2,4,5,A
9,1,Số nào nhỏ hơn? 6 __ 9,<,>,=,không có,A
10,1,3 + 6 = ?,9,8,7,10,A
11,1,8 - 5 = ?,2,3,4,5,B
12,1,Điền số còn thiếu: __ + 2 = 7,4,5,6,3,A
13,1,1 + 9 = ?,10,9,11,8,A
14,1,10 - 7 = ?,3,2,4,5,A
15,1,6 + 3 = ?,8,9,7,10,B
16,1,4 - 1 = ?,2,3,1,4,B
17,1,Điền số thích hợp: 5 + __ = 12,7,6,8,5,A
18,1,7 - 4 = ?,2,3,4,5,B
19,1,2 + 8 = ?,9,10,11,8,B
20,1,9 - 6 = ?,3,2,4,5,A
21,2,1 + 2 = ?,2,3,4,1,B
22,2,5 - 3 = ?,3,2,1,4,B
23,2,4 + 4 = ?,7,8,9,6,B
24,2,7 - 5 = ?,1,3,2,4,B
25,2,3 + 5 = ?,8,7,6,9,A
26,2,6 - 2 = ?,5,4,3,2,C
27,2,2 + 7 = ?,8,9,10,11,B
28,2,9 - 4 = ?,5,6,4,3,A
29,2,5 + 3 = ?,7,8,9,6,B
30,2,8 - 3 = ?,4,5,6,3,B
31,2,6 + 2 = ?,8,9,7,6,A
32,2,10 - 2 = ?,8,7,9,6,A
33,2,3 + 7 = ?,10,9,11,8,A
34,2,7 - 2 = ?,6,5,4,3,B
35,2,4 + 5 = ?,8,9,10,7,B
36,2,9 - 5 = ?,5,4,6,3,B
37,2,2 + 6 = ?,7,8,9,6,B
38,2,8 - 2 = ?,5,6,7,8,C
39,2,3 + 3 = ?,5,6,4,7,B
